interview_number,interview_date,interview_time,respondent_gender,respondent_age,respondent_class,respondent_home,number_alters,alter1_gender,alter1_age,alter1_class,alter1_home,alter1_howclose,alter1_howoften,alter2_gender,alter2_age,alter2_class,alter2_home,alter2_howclose,alter2_howoften,alter3_gender,alter3_age,alter3_class,alter3_home,alter3_howclose,alter3_howoften,alter4_gender,alter4_age,alter4_class,alter4_home,alter4_howclose,alter4_howoften,alter5_gender,alter5_age,alter5_class,alter5_home,alter5_howclose,alter5_howoften
1,1/24/2019,10:40:00,Male,21,Senior,Bay Area,5,Male,21,Senior,LA Area,Close friend,Once a week,Male,22,Senior,LA Area,Friend,Once a week,Male,20,Junior,Rest of United States,Close friend,Once a week,Male,21,Senior,Rest of World,Friend,NA,Female,22,Senior,Bay Area,Close friend,Once a week
2,1/24/2019,11:14:00,Male,25,Other,Bay Area,3,Male,26,Other,Bay Area,Close friend,More than once a week,Female,24,Other,Rest of United States,Close friend,More than once a week,Male,26,Other,Rest of United States,Close friend,More than once a week,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1/24/2019,11:19:00,Female,25,Other,Rest of United States,4,Female,26,Other,Rest of United States,Close friend,More than once a week,Female,28,Other,Rest of World,Close friend,More than once a week,Male,27,Other,Rest of United States,Close friend,Once a week,Female,23,Other,Rest of United States,Close friend,More than once a week,NA,NA,NA,NA,NA,NA
1,1/24/2019,10:34:00,Female,21,Senior,Bay Area,5,Female,20,Junior,Bay Area,Close friend,More than once a week,Female,21,Senior,Bay Area,Friend,More than once a week,Female,40,Other,Rest of World,Close friend,Once a week,Female,17,Other,Rest of United States,Close friend,Once a week,Female,21,Senior,Bay Area,Close friend,Once a week
2,1/24/2019,15:21:00,Female,31,Other,Bay Area,5,Female,24,Other,Rest of United States,Close friend,More than once a week,Female,24,Other,Rest of United States,Close friend,Once a week,Female,36,Other,Rest of United States,Close friend,Once a week,Female,26,Other,Rest of United States,Close friend,Once a month,Female,28,Other,Rest of United States,Close friend,Once a week
3,1/24/2019,18:23:00,Female,25,Other,Bay Area,6+,Female,25,Other,Rest of United States,Close friend,More than once a week,Female,60,Other,Rest of United States,Close friend,Once a week,Male,62,Other,Bay Area,Close friend,Once a week,Female,25,Other,Bay Area,Friend,Once a year,Female,39,Other,Rest of World,Acquaintance,Once a month
1,1/24/2019,10:30:00,Female,23,Junior,Rest of World,6+,Female,53,Other,Rest of World,Close friend,More than once a week,Female,21,Junior,Rest of World,Close friend,Once a week,Male,21,Junior,Rest of World,Close friend,Once a week,Female,21,Junior,Rest of World,Close friend,Once a week,Male,21,Junior,Rest of World,Friend,More than once a week
2,1/25/2019,11:20:00,Female,21,Other,Rest of World,4,Female,21,Other,Bay Area,Close friend,More than once a week,Female,21,Senior,Bay Area,Close friend,Once a week,Female,21,Other,Bay Area,Close friend,Once a week,Female,53,Other,Bay Area,Friend,Once a week,NA,NA,NA,NA,NA,NA
1,1/24/2019,10:41:00,Female,19,Sophomore,Rest of World,6+,Female,20,Sophomore,Rest of World,Close friend,More than once a week,Female,20,Sophomore,Rest of World,Close friend,More than once a week,Female,18,Sophomore,Rest of World,Friend,Once a week,Male,19,Sophomore,Rest of World,Friend,Once a week,Male,19,Sophomore,Rest of World,Friend,Once a year
2,1/24/2019,21:35:00,Female,18,Freshman,Rest of United States,4,Female,18,Freshman,Rest of United States,Close friend,Once a week,Female,19,Freshman,LA Area,Close friend,More than once a week,Male,18,Freshman,Rest of United States,Close friend,Once a week,Female,18,Freshman,Rest of United States,Close friend,Once a month,NA,NA,NA,NA,NA,NA
